depth,blk,gc,rs,NO,NH,P,K,pH,nowhite,rootmass,prowhite,sm
0,A,GC,LV,20.125,0.266,25,72,7.09,0,0.1385,0,19.65
33,A,GC,LV,18.625,0.301,28,84,7.2,0,0.267,0,20.07777775
66,A,GC,LV,31.5,0.331,35,101,7.01,9,0.4395,1,45.3763889
0,A,noGC,LV,23.65,0.175,30,100,7.02,31,0.501,0.120622568,21.8074074
33,A,noGC,LV,14.725,0.236,24,86,6.79,48,0.4975,1,27.16388885
66,A,noGC,LV,19.975,0.25,27,78,7.13,45,0.5025,0.210280374,44.2763889
0,A,GC,MV,24.6,0.299,37,109,7.16,1,0.1845,0.03125,18.25601853
33,A,GC,MV,6.7,0.646,29,114,7.2,0,0.082,0,22.73055555
66,A,GC,MV,7.8,0.638,33,102,7.22,169,0.698,0.949438202,35.7638889
0,A,noGC,MV,5.55,0.624,27,113,7.14,226,0.5205,0.974137931,18.2375
33,A,noGC,MV,12.8,0.716,35,102,7.36,21,0.353,1,21.4527778
66,A,noGC,MV,5.85,0.732,29,87,7.19,86,0.507,0.65648855,35.5333333
0,B,GC,LV,7.1,0.687,35,97,7.29,0,0.106,0,24.94953703
33,B,GC,LV,16.475,0.744,38,100,7.18,2,0.191,1,25.2763889
66,B,GC,LV,12.125,1.12,34,102,7.39,6,0.258,0.025862069,44.5041667
0,B,noGC,LV,2.2225,1.08,27,100,7.17,102,0.389,0.451327434,20.01273147
33,B,noGC,LV,3.275,0.23,5,106,5.69,14,0.308,1,25.60902775
66,B,noGC,LV,1.635,0.217,5,90,5.85,8,0.302,0.080808081,37.5
0,B,GC,MV,4,0.188,4,106,5.76,4,1.0945,0.037735849,18.16875
33,B,GC,MV,1.1675,0.193,4,95,5.86,6,0.2785,1,24.09722225
66,B,GC,MV,0.86,0.189,5,104,6.01,91,0.755,0.93814433,33.3333333
0,B,noGC,MV,1.295,0.211,4,97,5.76,124,0.702,0.784810127,20.74351853
33,B,noGC,MV,1.995,0.203,4,92,5.54,29,0.379,1,22.51666665
66,B,noGC,MV,2.4175,0.2,5,99,6.12,76,0.7105,0.904761905,32.7333333
0,C,GC,LV,1.4075,0.254,5,97,5.56,0,0.255,0,22.33194447
33,C,GC,LV,1.71,0.225,5,114,5.61,0.5,0.2605,0.055555556,23.3916667
66,C,GC,LV,1.8975,0.216,5,97,5.55,17,0.2185,0.109202331,37.4861111
0,C,noGC,LV,1.6225,0.168,5,87,5.95,36.5,0.7355,0.381996435,17.7087963
33,C,noGC,LV,0.6925,0.17,5,110,6.19,8.5,0.5445,0.472222222,26.02916665
66,C,noGC,LV,2.8,0.289,8,110,5.61,2,0.2405,0.285714286,36.1305556
0,C,GC,MV,0.8625,0.174,4,95,5.92,0.5,0.2345,0.029411765,19.78194447
33,C,GC,MV,0.9725,0.173,6,107,6.4,0.5,0.174,0.027777778,22.4895833
66,C,GC,MV,1.775,0.17,5,108,5.88,1.5,0.22,0.042857143,36.4111111
0,C,noGC,MV,2.2825,0.162,5,113,6.21,21,0.568,0.210888611,22.63564813
33,C,noGC,MV,0.725,0.156,4,98,5.73,51,0.729,0.5,27.40555555
66,C,noGC,MV,1.655,0.17,4,92,5.84,17,0.583,0.550980392,29.0430556
0,D,GC,LV,2.925,0.214,6,114,5.63,5,0.3505,0.094339623,21.76412037
33,D,GC,LV,1.8175,0.234,4,97,5.47,29,0.8835,0.406277799,22.8277778
66,D,GC,LV,0.8175,0.235,5,105,5.72,36,0.7575,0.37463496,44.2638889
0,D,noGC,LV,0.7575,0.213,4,99,5.52,21.5,0.605,0.492647059,18.425
33,D,noGC,LV,1.5775,0.2,4,104,5.62,16.5,0.776,0.257738095,22.30625
66,D,noGC,LV,0.82,0.203,4,93,5.65,12.5,0.6545,0.315894797,41.4041667
0,D,GC,MV,1.5875,0.22,5,98,5.68,23.5,0.5205,0.292553191,19.57569443
33,D,GC,MV,1.3625,0.217,5,99,5.58,47,0.4445,0.417768595,24.17083335
66,D,GC,MV,1.4275,0.208,5,112,5.98,21,0.6075,0.224893488,31.0333333
0,D,noGC,MV,2.525,0.21,5,98,5.47,6.5,0.276,0.846153846,20.2212963
33,D,noGC,MV,1.0375,0.22,5,91,5.58,82.5,0.5785,0.483078999,22.9486111
66,D,noGC,MV,0.88,0.218,5,92,5.66,4.5,0.147,0.161991585,36.0986111